slug,mrc,nu,param,cell_a,cell_b,pearson,spearman,max_abs
ALL_W_14-25_mrc2,2,8.0,u,drift,full,0.9953128630926155,0.9953172649913136,0.4738914485499741
ALL_W_14-25_mrc5,5,8.0,v,baseline,drift,0.9066698389360502,0.8848817859713745,0.04300309323457888
ALL_W_14-25_mrc5,5,8.0,v,baseline,full,0.9425640489873038,0.9260603737601318,0.023766612250325996
ALL_W_14-25_mrc5,5,8.0,v,aging,baseline,0.9501574699745186,0.9317163237260092,0.02170981652662452
ALL_W_14-25_mrc5,5,8.0,v,aging,drift,0.85491498288985,0.8107981900960112,0.037585182093990394
ALL_W_14-25_mrc5,5,8.0,v,aging,full,0.9571697501098666,0.9401034898613594,0.0190409620887301
ALL_W_14-25_mrc5,5,8.0,v,drift,full,0.9157540058732178,0.8869043723765275,0.029035550437277825
ALL_W_14-25_mrc5,5,8.0,u,baseline,drift,0.9985731662664613,0.9985052481528439,0.17373646386636743
ALL_W_14-25_mrc5,5,8.0,u,baseline,full,0.9921863432060892,0.9932676233081138,0.8986008918882256
ALL_W_14-25_mrc5,5,8.0,u,aging,baseline,0.9933812038895699,0.99456359669205,0.8909889215445173
ALL_W_14-25_mrc5,5,8.0,u,aging,drift,0.9924802942327986,0.993681610854745,0.8898550826508398
ALL_W_14-25_mrc5,5,8.0,u,aging,full,0.9987449596609542,0.99870461624766,0.18829730348217488
ALL_W_14-25_mrc5,5,8.0,u,drift,full,0.9936368464576908,0.9948234298780361,0.8976617374388116
ALL_M_14-25_mrc2,2,8.0,v,baseline,drift,0.9541112162686738,0.9384765953181792,0.029091848999397783
ALL_M_14-25_mrc2,2,8.0,v,baseline,full,0.9383616348576539,0.93422575443582,0.03080549846092543
ALL_M_14-25_mrc2,2,8.0,v,aging,baseline,0.9514610673985886,0.9586064788474973,0.03447386323455756
ALL_M_14-25_mrc2,2,8.0,v,aging,drift,0.9112879081340572,0.9072063839258077,0.04417586753897082
ALL_M_14-25_mrc2,2,8.0,v,aging,full,0.9698020485776423,0.9528766872919903,0.01834583588470897
ALL_M_14-25_mrc2,2,8.0,v,drift,full,0.9090842917324005,0.9048940679839753,0.041244209945206056
ALL_M_14-25_mrc2,2,8.0,u,baseline,drift,0.9975694339228203,0.9975349639398782,0.5373393648127269
